Id,GEOID,Geography,County,State,Total; Estimate; Population for whom poverty status is determined,Below poverty level; Estimate; Population for whom poverty status is determined,poverty_percent
1400000US48201550603,48201550603,Census Tract 5506.03, Harris County, Texas,5234,1310,0.250286588
1400000US48201550700,48201550700,Census Tract 5507, Harris County, Texas,2778,471,0.169546436
1400000US48201550800,48201550800,Census Tract 5508, Harris County, Texas,3986,934,0.23432012
1400000US48201550900,48201550900,Census Tract 5509, Harris County, Texas,9262,1737,0.187540488
1400000US48201551000,48201551000,Census Tract 5510, Harris County, Texas,2941,499,0.16967018
1400000US48201551100,48201551100,Census Tract 5511, Harris County, Texas,9716,2776,0.285714286
1400000US48201551200,48201551200,Census Tract 5512, Harris County, Texas,6269,707,0.112777157
1400000US48201551300,48201551300,Census Tract 5513, Harris County, Texas,3731,140,0.037523452
1400000US48201551400,48201551400,Census Tract 5514, Harris County, Texas,4755,415,0.087276551
1400000US48201551500,48201551500,Census Tract 5515, Harris County, Texas,8324,640,0.076886112
1400000US48201551600,48201551600,Census Tract 5516, Harris County, Texas,8039,774,0.096280632
1400000US48201551701,48201551701,Census Tract 5517.01, Harris County, Texas,8701,304,0.034938513
1400000US48201551702,48201551702,Census Tract 5517.02, Harris County, Texas,3952,58,0.014676113
1400000US48201551703,48201551703,Census Tract 5517.03, Harris County, Texas,7057,773,0.10953663
1400000US48201551800,48201551800,Census Tract 5518, Harris County, Texas,4724,90,0.019051651
1400000US48201551900,48201551900,Census Tract 5519, Harris County, Texas,5641,939,0.166459848
1400000US48201552001,48201552001,Census Tract 5520.01, Harris County, Texas,9459,1377,0.145575642
1400000US48201552002,48201552002,Census Tract 5520.02, Harris County, Texas,2236,137,0.061270125
1400000US48201552101,48201552101,Census Tract 5521.01, Harris County, Texas,3780,320,0.084656085
1400000US48201552102,48201552102,Census Tract 5521.02, Harris County, Texas,6038,99,0.016396158
1400000US48201552103,48201552103,Census Tract 5521.03, Harris County, Texas,3126,595,0.190339091
1400000US48201552200,48201552200,Census Tract 5522, Harris County, Texas,6129,1116,0.182085169
1400000US48201552301,48201552301,Census Tract 5523.01, Harris County, Texas,3706,102,0.027522936
1400000US48201552302,48201552302,Census Tract 5523.02, Harris County, Texas,5128,231,0.045046802
1400000US48201552400,48201552400,Census Tract 5524, Harris County, Texas,6668,932,0.139772046
