County,county_name,d,satis_ph1_nm,satis_rec_nm,percent
'231,Upton,11,7,3,0.636363636
'232,Uvalde,41,22,17,0.536585366
'233,Val verde,82,59,34,0.719512195
'234,Van zandt,65,50,24,0.769230769
'235,Victoria,110,71,37,0.645454545
'236,Walker,51,35,13,0.68627451
'237,Waller,57,41,20,0.719298246
'238,Ward,35,18,7,0.514285714
'239,Washington,22,15,4,0.681818182
'240,Webb,243,184,93,0.757201646
'241,Wharton,40,22,15,0.55
'242,Wheeler,11,0,0,0
'243,Wichita,129,100,54,0.775193798
'244,Wilbarger,17,12,5,0.705882353
'245,Willacy,0,0,0,0
'246,Williamson,474,361,195,0.761603376
'247,Wilson,47,32,15,0.680851064
'248,Winkler,21,9,5,0.428571429
'249,Wise,52,32,15,0.615384615
'250,Wood,37,23,12,0.621621622
'251,Yoakum,17,13,2,0.764705882
'252,Young,24,13,8,0.541666667
'253,Zapata,11,9,5,0.818181818
'254,Zavala,11,6,2,0.545454545
